Date,Sales
05/02/2012,6
12/02/2012,1
19/02/2012,38
26/02/2012,54
04/03/2012,57
11/03/2012,44
18/03/2012,41
25/03/2012,49
01/04/2012,46
08/04/2012,69
15/04/2012,53
22/04/2012,29
29/04/2012,17
06/05/2012,15
13/05/2012,8
20/05/2012,22
27/05/2012,22
03/06/2012,26
10/06/2012,19
17/06/2012,28
24/06/2012,38
01/07/2012,18
08/07/2012,6
15/07/2012,17
22/07/2012,16
29/07/2012,13
05/08/2012,14
12/08/2012,10
19/08/2012,22
26/08/2012,11
02/09/2012,23
09/09/2012,15
16/09/2012,25
23/09/2012,34
30/09/2012,31
07/10/2012,25
14/10/2012,27
21/10/2012,29
28/10/2012,24
04/11/2012,56
11/11/2012,26
18/11/2012,71
25/11/2012,98
02/12/2012,83
09/12/2012,112
16/12/2012,69
23/12/2012,64
30/12/2012,28
06/01/2013,46
13/01/2013,86
20/01/2013,37
27/01/2013,38
03/02/2013,9
10/02/2013,93
17/02/2013,94
24/02/2013,79
03/03/2013,57
10/03/2013,55
17/03/2013,48
24/03/2013,31
31/03/2013,36
07/04/2013,44
14/04/2013,42
21/04/2013,50
28/04/2013,30
05/05/2013,65
12/05/2013,48
19/05/2013,45
26/05/2013,33
02/06/2013,9
09/06/2013,2
16/06/2013,0
23/06/2013,3
30/06/2013,1
07/07/2013,5
14/07/2013,22
21/07/2013,31
28/07/2013,30
04/08/2013,21
11/08/2013,22
18/08/2013,34
25/08/2013,31
01/09/2013,31
08/09/2013,8
15/09/2013,0
22/09/2013,32
29/09/2013,16
06/10/2013,23
13/10/2013,25
20/10/2013,38
27/10/2013,27
03/11/2013,20
10/11/2013,26
17/11/2013,98
24/11/2013,123
01/12/2013,81
08/12/2013,117
15/12/2013,65
22/12/2013,78
29/12/2013,17
05/01/2014,42
12/01/2014,104
19/01/2014,75
26/01/2014,41
02/02/2014,17
09/02/2014,22
16/02/2014,27
23/02/2014,61
02/03/2014,68
09/03/2014,73
16/03/2014,42
23/03/2014,41
30/03/2014,59
06/04/2014,74
13/04/2014,54
20/04/2014,33
27/04/2014,76
04/05/2014,64
11/05/2014,90
18/05/2014,59
25/05/2014,55
01/06/2014,36
08/06/2014,57
15/06/2014,19
22/06/2014,42
29/06/2014,51
06/07/2014,43
13/07/2014,26
20/07/2014,10
27/07/2014,18
03/08/2014,18
10/08/2014,25
17/08/2014,46
24/08/2014,25
31/08/2014,10
07/09/2014,18
14/09/2014,66
21/09/2014,12
28/09/2014,27
05/10/2014,36
12/10/2014,123
19/10/2014,105
26/10/2014,107
02/11/2014,45
09/11/2014,64
16/11/2014,77
23/11/2014,86
30/11/2014,76
07/12/2014,27
14/12/2014,46
21/12/2014,61
28/12/2014,34
04/01/2015,111
11/01/2015,50
18/01/2015,102
25/01/2015,95
01/02/2015,68
08/02/2015,90
15/02/2015,68
22/02/2015,70
01/03/2015,72
08/03/2015,85
15/03/2015,97
22/03/2015,50
29/03/2015,107
05/04/2015,70
12/04/2015,103
19/04/2015,56
26/04/2015,34
03/05/2015,43
10/05/2015,65
17/05/2015,26
24/05/2015,31
31/05/2015,40
07/06/2015,72
14/06/2015,42
21/06/2015,60
28/06/2015,24
05/07/2015,27
12/07/2015,22
19/07/2015,37
26/07/2015,74
02/08/2015,59
09/08/2015,54
16/08/2015,51
23/08/2015,50
30/08/2015,56
06/09/2015,78
13/09/2015,78
20/09/2015,64
27/09/2015,4
04/10/2015,5
11/10/2015,23
18/10/2015,55
25/10/2015,24
01/11/2015,45
08/11/2015,38
15/11/2015,82
22/11/2015,114
29/11/2015,99
06/12/2015,161
13/12/2015,110
20/12/2015,60
27/12/2015,32
03/01/2016,14
10/01/2016,62
17/01/2016,66
24/01/2016,74
31/01/2016,60
07/02/2016,91
14/02/2016,64
21/02/2016,94
28/02/2016,88
06/03/2016,87
13/03/2016,71
20/03/2016,63
27/03/2016,73
03/04/2016,27
10/04/2016,20
17/04/2016,29
24/04/2016,13
01/05/2016,9
08/05/2016,0
15/05/2016,19
22/05/2016,3
29/05/2016,25
05/06/2016,31
12/06/2016,24
19/06/2016,4
26/06/2016,1
03/07/2016,3
10/07/2016,42
17/07/2016,59
24/07/2016,51
31/07/2016,43
07/08/2016,16
14/08/2016,21
21/08/2016,20
28/08/2016,34
04/09/2016,24
11/09/2016,96
18/09/2016,1
25/09/2016,0
02/10/2016,0
09/10/2016,0
16/10/2016,0
23/10/2016,63
30/10/2016,97
06/11/2016,159
13/11/2016,49
20/11/2016,27
27/11/2016,35
04/12/2016,44
11/12/2016,91
18/12/2016,74
25/12/2016,14
01/01/2017,1
08/01/2017,36
15/01/2017,105
22/01/2017,135
29/01/2017,61
05/02/2017,70
12/02/2017,50
19/02/2017,62
26/02/2017,41
05/03/2017,47
12/03/2017,25
19/03/2017,25
26/03/2017,38
02/04/2017,22
09/04/2017,10
16/04/2017,10
23/04/2017,6
30/04/2017,9
07/05/2017,6
14/05/2017,11
21/05/2017,5
28/05/2017,7
04/06/2017,8
11/06/2017,42
18/06/2017,59
25/06/2017,17
02/07/2017,58
09/07/2017,44
16/07/2017,115
23/07/2017,45
30/07/2017,68
06/08/2017,41
13/08/2017,42
20/08/2017,40
27/08/2017,47
03/09/2017,8
