%% Stock Qty Sales of LAD.06 for
%% 2012-2017

@relation stock_qty_sales
@attribute Qty numeric
@attribute Date date 'yyyy-MM-dd'

@data
6,2012-02-05
1,2012-02-12
38,2012-02-19
54,2012-02-26
57,2012-03-04
44,2012-03-11
41,2012-03-18
49,2012-03-25
46,2012-04-01
69,2012-04-08
53,2012-04-15
29,2012-04-22
17,2012-04-29
15,2012-05-06
8,2012-05-13
22,2012-05-20
22,2012-05-27
26,2012-06-03
19,2012-06-10
28,2012-06-17
38,2012-06-24
18,2012-07-01
6,2012-07-08
17,2012-07-15
16,2012-07-22
13,2012-07-29
14,2012-08-05
10,2012-08-12
22,2012-08-19
11,2012-08-26
23,2012-09-02
15,2012-09-09
25,2012-09-16
34,2012-09-23
31,2012-09-30
25,2012-10-07
27,2012-10-14
29,2012-10-21
24,2012-10-28
56,2012-11-04
26,2012-11-11
71,2012-11-18
98,2012-11-25
83,2012-12-02
112,2012-12-09
69,2012-12-16
64,2012-12-23
28,2012-12-30
46,2013-01-06
86,2013-01-13
37,2013-01-20
38,2013-01-27
9,2013-02-03
93,2013-02-10
94,2013-02-17
79,2013-02-24
57,2013-03-03
55,2013-03-10
48,2013-03-17
31,2013-03-24
36,2013-03-31
44,2013-04-07
42,2013-04-14
50,2013-04-21
30,2013-04-28
65,2013-05-05
48,2013-05-12
45,2013-05-19
33,2013-05-26
9,2013-06-02
2,2013-06-09
0,2013-06-16
3,2013-06-23
1,2013-06-30
5,2013-07-07
22,2013-07-14
31,2013-07-21
30,2013-07-28
21,2013-08-04
22,2013-08-11
34,2013-08-18
31,2013-08-25
31,2013-09-01
8,2013-09-08
0,2013-09-15
32,2013-09-22
16,2013-09-29
23,2013-10-06
25,2013-10-13
38,2013-10-20
27,2013-10-27
20,2013-11-03
26,2013-11-10
98,2013-11-17
123,2013-11-24
81,2013-12-01
117,2013-12-08
65,2013-12-15
78,2013-12-22
17,2013-12-29
42,2014-01-05
104,2014-01-12
75,2014-01-19
41,2014-01-26
17,2014-02-02
22,2014-02-09
27,2014-02-16
61,2014-02-23
68,2014-03-02
73,2014-03-09
42,2014-03-16
41,2014-03-23
59,2014-03-30
74,2014-04-06
54,2014-04-13
33,2014-04-20
76,2014-04-27
64,2014-05-04
90,2014-05-11
59,2014-05-18
55,2014-05-25
36,2014-06-01
57,2014-06-08
19,2014-06-15
42,2014-06-22
51,2014-06-29
43,2014-07-06
26,2014-07-13
10,2014-07-20
18,2014-07-27
18,2014-08-03
25,2014-08-10
46,2014-08-17
25,2014-08-24
10,2014-08-31
18,2014-09-07
66,2014-09-14
12,2014-09-21
27,2014-09-28
36,2014-10-05
123,2014-10-12
105,2014-10-19
107,2014-10-26
45,2014-11-02
64,2014-11-09
77,2014-11-16
86,2014-11-23
76,2014-11-30
27,2014-12-07
46,2014-12-14
61,2014-12-21
34,2014-12-28
111,2015-01-04
50,2015-01-11
102,2015-01-18
95,2015-01-25
68,2015-02-01
90,2015-02-08
68,2015-02-15
70,2015-02-22
72,2015-03-01
85,2015-03-08
97,2015-03-15
50,2015-03-22
107,2015-03-29
70,2015-04-05
103,2015-04-12
56,2015-04-19
34,2015-04-26
43,2015-05-03
65,2015-05-10
26,2015-05-17
31,2015-05-24
40,2015-05-31
72,2015-06-07
42,2015-06-14
60,2015-06-21
24,2015-06-28
27,2015-07-05
22,2015-07-12
37,2015-07-19
74,2015-07-26
59,2015-08-02
54,2015-08-09
51,2015-08-16
50,2015-08-23
56,2015-08-30
78,2015-09-06
78,2015-09-13
64,2015-09-20
4,2015-09-27
5,2015-10-04
23,2015-10-11
55,2015-10-18
24,2015-10-25
45,2015-11-01
38,2015-11-08
82,2015-11-15
114,2015-11-22
99,2015-11-29
161,2015-12-06
110,2015-12-13
60,2015-12-20
32,2015-12-27
14,2016-01-03
62,2016-01-10
66,2016-01-17
74,2016-01-24
60,2016-01-31
91,2016-02-07
64,2016-02-14
94,2016-02-21
88,2016-02-28
87,2016-03-06
71,2016-03-13
63,2016-03-20
73,2016-03-27
27,2016-04-03
20,2016-04-10
29,2016-04-17
13,2016-04-24
9,2016-05-01
0,2016-05-08
19,2016-05-15
3,2016-05-22
25,2016-05-29
31,2016-06-05
24,2016-06-12
4,2016-06-19
1,2016-06-26
3,2016-07-03
42,2016-07-10
59,2016-07-17
51,2016-07-24
43,2016-07-31
16,2016-08-07
21,2016-08-14
20,2016-08-21
34,2016-08-28
24,2016-09-04
96,2016-09-11
1,2016-09-18
0,2016-09-25
0,2016-10-02
0,2016-10-09
0,2016-10-16
63,2016-10-23
97,2016-10-30
159,2016-11-06
49,2016-11-13
27,2016-11-20
35,2016-11-27
44,2016-12-04
91,2016-12-11
74,2016-12-18
14,2016-12-25
1,2017-01-01
36,2017-01-08
105,2017-01-15
135,2017-01-22
61,2017-01-29
70,2017-02-05
50,2017-02-12
62,2017-02-19
41,2017-02-26
47,2017-03-05
25,2017-03-12
25,2017-03-19
38,2017-03-26
22,2017-04-02
10,2017-04-09
10,2017-04-16
6,2017-04-23
9,2017-04-30
6,2017-05-07
11,2017-05-14
5,2017-05-21
7,2017-05-28
8,2017-06-04
42,2017-06-11
59,2017-06-18
17,2017-06-25
58,2017-07-02
44,2017-07-09
115,2017-07-16
45,2017-07-23
68,2017-07-30
41,2017-08-06
42,2017-08-13
40,2017-08-20
47,2017-08-27
8,2017-09-03
