Stock Trans Date,Stock Qty Sales All
30/01/2012,3
01/02/2012,6
02/02/2012,1
03/02/2012,3
06/02/2012,3
07/02/2012,2
08/02/2012,5
09/02/2012,1
10/02/2012,1
13/02/2012,2
14/02/2012,2
15/02/2012,3
16/02/2012,1
17/02/2012,3
20/02/2012,7
21/02/2012,1
22/02/2012,1
23/02/2012,1
24/02/2012,2
27/02/2012,5
29/02/2012,1
02/03/2012,1
05/03/2012,3
06/03/2012,1
08/03/2012,1
09/03/2012,1
12/03/2012,2
14/03/2012,1
15/03/2012,2
19/03/2012,2
20/03/2012,1
21/03/2012,1
22/03/2012,2
23/03/2012,3
27/03/2012,4
29/03/2012,2
30/03/2012,1
19/05/2015,1
22/05/2015,1
27/05/2015,7
28/05/2015,3
29/05/2015,3
03/06/2015,3
12/06/2015,14
18/06/2015,11
19/06/2015,3
24/06/2015,12
26/06/2015,5
27/06/2015,0
02/07/2015,17
03/07/2015,2
04/07/2015,0
06/07/2015,1
07/07/2015,1
08/07/2015,1
09/07/2015,2
10/07/2015,1
14/07/2015,2
16/07/2015,1
18/07/2015,1
22/07/2015,4
24/07/2015,1
25/07/2015,0
27/07/2015,4
28/07/2015,1
29/07/2015,2
30/07/2015,2
03/08/2015,2
04/08/2015,1
06/08/2015,1
07/08/2015,1
10/08/2015,2
11/08/2015,1
12/08/2015,1
17/08/2015,3
18/08/2015,1
19/08/2015,1
21/08/2015,1
24/08/2015,1
31/08/2015,1
03/09/2015,1
08/09/2015,5
09/09/2015,2
10/09/2015,1
11/09/2015,1
14/09/2015,1
21/09/2015,1
22/09/2015,1
24/09/2015,1
28/09/2015,2
30/09/2015,2
01/10/2015,2
02/10/2015,1
06/10/2015,2
08/10/2015,1
12/10/2015,1
13/10/2015,2
16/10/2015,1
20/10/2015,1
22/10/2015,1
09/12/2015,1
02/02/2016,1
21/03/2016,4
26/03/2016,1
29/03/2016,2
30/03/2016,1
04/04/2016,3
05/04/2016,1
06/04/2016,1
07/04/2016,5
08/04/2016,2
09/04/2016,1
11/04/2016,3
12/04/2016,9
13/04/2016,4
14/04/2016,2
16/04/2016,1
18/04/2016,2
19/04/2016,1
20/04/2016,1
21/04/2016,1
22/04/2016,1
23/04/2016,1
25/04/2016,5
26/04/2016,2
27/04/2016,1
28/04/2016,1
29/04/2016,3
30/04/2016,2
02/05/2016,4
03/05/2016,4
04/05/2016,1
05/05/2016,4
06/05/2016,3
07/05/2016,4
09/05/2016,3
10/05/2016,8
11/05/2016,2
12/05/2016,1
13/05/2016,3
16/05/2016,8
17/05/2016,0
17/05/2016,11
18/05/2016,5
19/05/2016,11
20/05/2016,3
21/05/2016,2
23/05/2016,1
24/05/2016,3
25/05/2016,6
26/05/2016,7
27/05/2016,3
31/05/2016,2
01/06/2016,3
03/06/2016,0
03/06/2016,1
04/06/2016,2
07/06/2016,5
09/06/2016,3
10/06/2016,0
10/06/2016,2
11/06/2016,0
11/06/2016,1
13/06/2016,6
14/06/2016,3
15/06/2016,3
17/06/2016,1
21/06/2016,2
22/06/2016,2
